squad_id,label,player_id
T01,Snowyy x Zinc x Duq,snowyy
T01,Snowyy x Zinc x Duq,zinc
T01,Snowyy x Zinc x Duq,duq
T02,Sleepy x Chef Ram x Turbs,sleepy
T02,Sleepy x Chef Ram x Turbs,chef_ram
T02,Sleepy x Chef Ram x Turbs,turbs
T03,Inctz x Light x Gooey,inctz
T03,Inctz x Light x Gooey,light
T03,Inctz x Light x Gooey,gooey
T04,Koby x Dyna x OG,koby
T04,Koby x Dyna x OG,dyna
T04,Koby x Dyna x OG,og
T05,Minho x Monkey x 5thstump,minho
T05,Minho x Monkey x 5thstump,monkey
T05,Minho x Monkey x 5thstump,5thstump
T06,Obricks x Hazard x Kaiba,obricks
T06,Obricks x Hazard x Kaiba,hazard
T06,Obricks x Hazard x Kaiba,kaiba
T07,Guckie x JDZ x Zmoney,guckie
T07,Guckie x JDZ x Zmoney,jdz
T07,Guckie x JDZ x Zmoney,zmoney
T08,Anks/Cupid/Scoobs x Aggy x Unrivaled,ankhas
T08,Anks/Cupid/Scoobs x Aggy x Unrivaled,aggy
T08,Anks/Cupid/Scoobs x Aggy x Unrivaled,unrivaled
T09,Drizzy x Trix x Dx,drizzy
T09,Drizzy x Trix x Dx,trix
T09,Drizzy x Trix x Dx,dx
T10,Miss Fairy x OnFleek x Sass/Kenn,miss_fairy
T10,Miss Fairy x OnFleek x Sass/Kenn,onfleek
T10,Miss Fairy x OnFleek x Sass/Kenn,sass
T11,Dolem1te x Jatzy x Hooli,dolemite
T11,Dolem1te x Jatzy x Hooli,jatzy
T11,Dolem1te x Jatzy x Hooli,hooli
T12,Shan0 x Willybee x Caita,shan0
T12,Shan0 x Willybee x Caita,willybee
T12,Shan0 x Willybee x Caita,caita
T13,Delayed x Kino/Frenzy x Aentity,delayed
T13,Delayed x Kino/Frenzy x Aentity,kino
T13,Delayed x Kino/Frenzy x Aentity,aentity
T14,Leza x Lupin x Manemerc,lezafort
T14,Leza x Lupin x Manemerc,lupin
T14,Leza x Lupin x Manemerc,manemerc
T15,Humz x VGL x Arsenic,humz
T15,Humz x VGL x Arsenic,vgl_(swanny)
T15,Humz x VGL x Arsenic,arsenic
T16,Termxi x Meataxe x Redshiftr,termxi
T16,Termxi x Meataxe x Redshiftr,meataxe
T16,Termxi x Meataxe x Redshiftr,redshiftr
