map_no,squad_id,player_id,kills,assists,redeploys,damage,confidence
1,T01,snowyy,7,4,2,4397,C
1,T01,zinc,8,5,5,4862,C
1,T01,duq,4,4,8,2625,C
2,T01,snowyy,5,4,6,4140,C
2,T01,zinc,8,2,6,4516,C
2,T01,duq,4,0,10,2061,C
3,T01,snowyy,10,2,6,4785,C
3,T01,zinc,6,3,2,3871,C
3,T01,duq,3,2,13,1650,C
4,T01,snowyy,9,2,3,4358,C
4,T01,zinc,9,5,3,4901,C
4,T01,duq,4,2,6,3418,C
5,T01,snowyy,4,0,6,2524,C
5,T01,zinc,3,2,6,2192,C
5,T01,duq,1,1,10,972,C
6,T01,snowyy,3,3,3,2179,C
6,T01,zinc,6,0,8,4431,C
6,T01,duq,4,0,10,1691,C
7,T01,snowyy,6,0,5,3518,C
7,T01,zinc,2,2,10,1845,C
7,T01,duq,4,1,11,2323,C
8,T01,snowyy,8,2,3,4524,C
8,T01,zinc,16,1,4,5370,C
8,T01,duq,3,2,6,3884,C
9,T01,snowyy,5,1,0,4231,C
9,T01,zinc,5,1,2,4175,C
9,T01,duq,1,2,2,2153,C
1,T02,sleepy,5,2,2,3408,C
1,T02,chef_ram,10,5,2,4502,C
1,T02,turbs,5,4,2,2177,C
2,T02,sleepy,8,5,0,3954,C
2,T02,chef_ram,8,5,1,5409,C
2,T02,turbs,7,1,1,2940,C
3,T02,sleepy,8,5,5,4224,C
3,T02,chef_ram,7,1,6,4178,C
3,T02,turbs,7,4,3,3356,C
4,T02,sleepy,0,3,3,597,C
4,T02,chef_ram,2,1,1,1237,C
4,T02,turbs,0,0,4,239,C
5,T02,sleepy,3,0,4,2182,C
5,T02,chef_ram,2,0,6,2275,C
5,T02,turbs,4,0,7,1752,C
6,T02,sleepy,4,1,5,4152,C
6,T02,chef_ram,8,2,7,5070,C
6,T02,turbs,3,2,5,2241,C
7,T02,sleepy,1,2,6,1815,C
7,T02,chef_ram,3,3,4,2590,C
7,T02,turbs,3,0,5,1074,C
8,T02,sleepy,0,,,,C
8,T02,chef_ram,0,,,,C
8,T02,turbs,1,,,,C
1,T03,inctz,3,2,5,2289,C
1,T03,light,4,1,3,4062,C
1,T03,gooey,6,3,12,3283,C
2,T03,inctz,5,1,1,2565,C
2,T03,light,9,1,4,3721,C
2,T03,gooey,4,1,4,2181,C
3,T03,inctz,13,10,3,7173,C
3,T03,light,15,8,3,6435,C
3,T03,gooey,14,4,5,4238,C
4,T03,inctz,8,4,8,4628,C
4,T03,light,9,4,7,5588,C
4,T03,gooey,4,3,13,2614,C
5,T03,inctz,1,0,2,529,C
5,T03,light,3,3,4,1905,C
5,T03,gooey,1,0,5,709,C
6,T03,inctz,5,3,3,2808,C
6,T03,light,6,4,3,3708,C
6,T03,gooey,5,2,6,3138,C
7,T03,inctz,4,1,5,2039,C
7,T03,light,2,1,5,1675,C
7,T03,gooey,2,2,9,1841,C
8,T03,inctz,1,2,8,2189,C
8,T03,light,1,1,8,2446,C
8,T03,gooey,3,1,14,812,C
9,T03,inctz,3,0,4,2350,C
9,T03,light,11,3,2,5580,C
9,T03,gooey,2,4,3,1803,C
1,T04,koby,2,0,5,676,C
1,T04,dyna,12,1,5,5814,C
1,T04,og,8,3,6,4600,C
2,T04,koby,3,3,7,2600,C
2,T04,dyna,5,2,2,3025,C
2,T04,og,6,6,4,3953,C
3,T04,koby,5,0,12,2406,C
3,T04,dyna,5,1,15,3417,C
3,T04,og,5,0,12,4152,C
4,T04,koby,3,5,10,,C
4,T04,dyna,9,1,4,,C
4,T04,og,10,2,8,,C
5,T04,koby,1,5,7,1055,C
5,T04,dyna,13,3,6,4945,C
5,T04,og,5,10,4,4689,C
6,T04,koby,2,3,12,1537,C
6,T04,dyna,7,3,4,5173,C
6,T04,og,5,0,6,2023,C
7,T04,koby,2,5,6,1633,C
7,T04,dyna,15,7,4,7636,C
7,T04,og,16,4,7,6246,C
8,T04,koby,1,2,1,1357,C
8,T04,dyna,5,2,0,3233,C
8,T04,og,3,0,1,1785,C
9,T04,koby,1,0,7,820,C
9,T04,dyna,8,2,6,4205,C
9,T04,og,3,4,7,2020,C
1,T05,minho,3,1,3,2254,C
1,T05,monkey,4,0,5,2335,C
1,T05,5thstump,1,0,3,828,C
2,T05,minho,1,1,7,583,C
2,T05,monkey,2,2,10,1450,C
2,T05,5thstump,1,0,11,1203,C
3,T05,minho,1,3,5,1424,C
3,T05,monkey,2,1,8,1478,C
3,T05,5thstump,0,0,8,490,C
4,T05,minho,0,1,6,358,C
4,T05,monkey,5,0,5,2033,C
4,T05,5thstump,0,3,6,312,C
5,T05,minho,5,1,2,2705,C
5,T05,monkey,5,1,5,4258,C
5,T05,5thstump,4,1,7,2536,C
6,T05,minho,2,0,3,1150,C
6,T05,monkey,4,0,7,2982,C
6,T05,5thstump,4,1,4,1839,C
7,T05,minho,2,,,,C
7,T05,monkey,2,,,,C
7,T05,5thstump,2,,,,C
8,T05,minho,3,,,,C
8,T05,monkey,4,,,,C
8,T05,5thstump,3,,,,C
1,T06,obricks,6,2,5,3350,C
1,T06,hazard,10,2,7,4369,C
1,T06,kaiba,4,1,7,1854,C
2,T06,obricks,3,4,7,2220,C
2,T06,hazard,4,2,7,2510,C
2,T06,kaiba,7,2,8,3728,C
3,T06,obricks,10,4,5,4445,C
3,T06,hazard,5,2,2,3092,C
3,T06,kaiba,2,1,6,1117,C
4,T06,obricks,0,3,5,989,C
4,T06,hazard,2,0,4,941,C
4,T06,kaiba,2,1,6,1573,C
5,T06,obricks,6,5,1,3721,C
5,T06,hazard,9,0,3,4395,C
5,T06,kaiba,3,2,3,2079,C
6,T06,obricks,3,2,7,3755,C
6,T06,hazard,9,1,4,4127,C
6,T06,kaiba,4,3,10,2317,C
7,T06,obricks,4,3,3,2786,C
7,T06,hazard,8,2,1,3710,C
7,T06,kaiba,6,3,3,2388,C
8,T06,obricks,0,,,,C
8,T06,hazard,0,,,,C
8,T06,kaiba,0,,,,C
1,T07,guckie,0,0,0,0,C
1,T07,jdz,2,0,0,610,C
1,T07,zmoney,0,2,0,190,C
2,T07,guckie,5,3,2,2261,C
2,T07,jdz,10,1,3,4738,C
2,T07,zmoney,6,3,3,3859,C
3,T07,guckie,4,1,11,2188,C
3,T07,jdz,4,1,7,2787,C
3,T07,zmoney,7,2,10,2880,C
4,T07,guckie,1,3,9,2531,C
