map_no,squad_id,placement,squad_kills,squad_assists,squad_redeploys,squad_damage,confidence,evidence_url,note
1,T06,1,21,,,,C,,
1,T13,2,22,6,5,5574,C,,
1,T03,3,18,,,,C,,
1,T15,4,11,3,4,3147,C,,
1,T12,5,10,,,,C,,
1,T07,6,22,,,,C,,
1,T09,7,4,,,,C,,Sheet records 7 kills; screenshot totals 4
1,T01,8,7,,,,C,,
1,T08,9,9,,,,C,,
1,T05,10,15,,,,C,,
1,T14,11,11,,,,C,,
1,T04,12,2,,,,C,,
1,T10,13,11,,,,C,,"Wai played, not Ceiza"
1,T11,14,2,,,,C,,
1,T02,15,6,,,,C,,
2,T03,1,29,,,,C,,
2,T07,2,22,,,,C,,
2,T02,3,10,,,,C,,
2,T10,4,9,,,,I,,"IMPUTED from each player's kill share on reported maps. '4th 9k' text post, no scoreboard"
2,T12,5,12,,,,C,,
2,T13,6,11,,,,C,,
2,T06,7,13,,,,C,,
2,T05,8,13,,,,C,,
2,T04,9,7,2,3,1367,C,,
2,T11,10,9,,,,C,,
2,T14,11,5,,,,C,,
2,T01,12,6,,,,C,,
2,T09,13,4,,,,I,,IMPUTED from each player's kill share on reported maps. Screenshot posted was a duplicate of the M1 image
2,T15,14,2,0,3,205,C,,
2,T08,15,1,,,,C,,
3,T05,1,34,,,,C,,
3,T03,2,16,,,,C,,
3,T10,3,19,,,,C,,
3,T13,4,17,,,,C,,
3,T12,5,11,,,,C,,
3,T07,6,20,,,,C,,
3,T04,7,10,,,,C,,
3,T06,8,18,,,,C,,
3,T02,9,16,,,,C,,
3,T08,10,7,1,7,2162,C,,
3,T11,11,10,,,,C,,
3,T09,12,4,,,,C,,DZIRE guessed 9th; sheet has 12th
3,T01,13,9,,,,T,,Text post: Mane 4 / Leza 4 / Lupin 1
3,T14,14,7,,,,C,,Dx typed '5k'; screenshot totals 7
3,T15,15,1,,,,I,,IMPUTED from each player's kill share on reported maps. '1 kill np' text post
4,T14,1,25,15,5,11573,C,,
4,T06,2,23,,,,C,,
4,T07,3,23,12,12,14866,C,,
4,T05,4,15,5,32,8593,C,,
4,T11,5,11,6,10,9786,C,,
4,T13,6,23,7,9,11531,C,,
4,T01,7,5,4,29,5483,C,,
4,T12,8,7,8,11,6539,C,,
4,T15,9,11,7,22,8176,C,,
4,T04,10,2,1,17,4122,C,,
4,T10,11,10,1,12,6990,C,,
4,T08,12,7,2,13,5078,C,,
4,T03,13,10,2,20,6020,C,,
4,T02,14,0,,,,L,,Leaderboard 0 kills = wiped early
4,T09,15,0,,,,T,,'14th or something with 0' text post
5,T02,1,20,4,17,8745,C,,
5,T14,2,10,9,17,6472,C,,
5,T07,3,27,1,9,14341,C,,
5,T05,4,14,3,16,8677,C,,
5,T12,5,15,9,22,10981,C,,
5,T11,6,7,7,25,7062,C,,
5,T04,7,5,1,16,5066,C,,Kenn: '7th place I think'
5,T15,8,18,,,,C,,Posted as 7th; sheet has 8th
5,T09,9,2,2,29,3536,C,,
5,T08,10,9,3,11,5627,C,,
5,T03,11,21,8,11,11380,C,,
5,T13,12,4,2,13,4691,C,,
5,T06,13,12,,,,C,,
5,T01,14,0,,,,T,,'14th-15th 0 kills'; sheet wrongly has 8th
5,T10,15,4,1,5,2448,C,,
6,T07,1,23,6,2,11851,C,,
6,T11,3,11,3,18,10289,C,,
6,T05,4,8,3,17,6267,C,,
6,T08,5,15,2,14,8313,C,,
6,T14,7,12,8,11,7011,C,,Posted 16:43; NOT entered in sheet
6,T04,7,5,,,,I,,IMPUTED from each player's kill share on reported maps. Sheet only; clashes with T14 for 7th
6,T15,8,4,,,,I,,"IMPUTED from each player's kill share on reported maps. Match summary screen: 8th, 4 kills"
6,T01,9,11,2,18,6939,C,,ManeMerc replaced by JFISCAL10
6,T03,10,13,,,,C,,
6,T12,11,13,9,9,8961,C,,
6,T13,13,8,1,14,4290,C,,
6,T06,14,8,,,,C,,
6,T10,15,0,,,,L,,Leaderboard 0 kills = wiped early
6,T02,,0,,,,L,,Leaderboard 0; placement never assigned
6,T09,,0,,,,L,,Leaderboard 0; placement never assigned
