map_no,squad_id,player_id,kills,assists,redeploys,damage,confidence
1,T06,hi,9,,,,K
1,T06,toji,6,,,,K
1,T06,dolemite,6,,,,K
1,T13,rybug,7,6,5,5574,C
1,T13,camzy,11,,,,K
1,T13,mr_x,4,,,,K
1,T03,vgl_(swanny),4,,,,K
1,T03,dyna,6,,,,K
1,T03,koby,8,,,,K
1,T15,nicc,6,3,4,3147,C
1,T15,ice,4,,,,K
1,T15,k4ce,1,,,,K
1,T12,ammonia,8,,,,K
1,T12,nzzl,1,,,,K
1,T12,gzoumis,1,,,,K
1,T07,zag,5,,,,K
1,T07,idrxp,10,,,,K
1,T07,gooey,7,,,,K
1,T09,dzire,2,,,,K
1,T09,hardyy,2,,,,K
1,T09,spicy,0,,,,K
1,T01,lupin,2,,,,K
1,T01,lezafort,3,,,,K
1,T01,manemerc,2,,,,K
1,T08,mull,2,,,,K
1,T08,shan0,5,,,,K
1,T08,willybee,2,,,,K
1,T05,kaiba,8,,,,K
1,T05,hazard,6,,,,K
1,T05,quack,1,,,,K
1,T14,future,4,,,,K
1,T14,dx,4,,,,K
1,T14,overtime_au,3,,,,K
1,T04,skabenga,0,,,,K
1,T04,moose,1,,,,K
1,T04,kenn,1,,,,K
1,T10,wai,6,,,,K
1,T10,aussy,4,,,,K
1,T10,mamz_au,1,,,,K
1,T11,monkey,2,,,,K
1,T11,nzdee,0,,,,K
1,T11,minho,0,,,,K
1,T02,jay,4,,,,K
1,T02,obricks,1,,,,K
1,T02,garra,1,,,,K
2,T03,dyna,15,,,,K
2,T03,koby,11,,,,K
2,T03,vgl_(swanny),3,,,,K
2,T07,gooey,6,,,,K
2,T07,zag,6,,,,K
2,T07,idrxp,10,,,,K
2,T02,garra,2,,,,K
2,T02,obricks,5,,,,K
2,T02,jay,3,,,,K
2,T10,ceiza,3,,,,I
2,T10,mamz_au,2,,,,I
2,T10,aussy,4,,,,I
2,T12,ammonia,5,,,,K
2,T12,gzoumis,4,,,,K
2,T12,nzzl,3,,,,K
2,T13,camzy,7,,,,K
2,T13,mr_x,3,,,,K
2,T13,rybug,1,,,,K
2,T06,hi,8,,,,K
2,T06,toji,4,,,,K
2,T06,dolemite,1,,,,K
2,T05,quack,3,,,,K
2,T05,kaiba,8,,,,K
2,T05,hazard,2,,,,K
2,T04,kenn,0,2,3,1367,C
2,T04,skabenga,2,,,,K
2,T04,moose,5,,,,K
2,T11,monkey,2,,,,K
2,T11,minho,2,,,,K
2,T11,nzdee,5,,,,K
2,T14,overtime_au,1,,,,K
2,T14,dx,3,,,,K
2,T14,future,1,,,,K
2,T01,lezafort,5,,,,K
2,T01,lupin,0,,,,K
2,T01,manemerc,1,,,,K
2,T09,hardyy,1,,,,I
2,T09,spicy,1,,,,I
2,T09,dzire,2,,,,I
2,T15,ice,0,0,3,205,C
2,T15,nicc,2,,,,K
2,T15,k4ce,0,,,,K
2,T08,willybee,1,,,,K
2,T08,mull,0,,,,K
2,T08,shan0,0,,,,K
3,T05,kaiba,10,,,,K
3,T05,hazard,13,,,,K
3,T05,quack,11,,,,K
3,T03,vgl_(swanny),3,,,,K
3,T03,dyna,7,,,,K
3,T03,koby,6,,,,K
3,T10,ceiza,9,,,,K
3,T10,aussy,8,,,,K
3,T10,mamz_au,2,,,,K
3,T13,rybug,4,,,,K
3,T13,camzy,6,,,,K
3,T13,mr_x,7,,,,K
3,T12,ammonia,7,,,,K
3,T12,gzoumis,2,,,,K
3,T12,nzzl,2,,,,K
3,T07,gooey,9,,,,K
3,T07,idrxp,10,,,,K
3,T07,zag,1,,,,K
3,T04,kenn,2,,,,K
3,T04,skabenga,3,,,,K
3,T04,moose,5,,,,K
3,T06,toji,11,,,,K
3,T06,hi,6,,,,K
3,T06,dolemite,1,,,,K
3,T02,jay,6,,,,K
3,T02,garra,2,,,,K
3,T02,obricks,8,,,,K
3,T08,shan0,4,1,7,2162,C
3,T08,willybee,1,,,,K
3,T08,mull,2,,,,K
3,T11,minho,2,,,,K
3,T11,nzdee,4,,,,K
3,T11,monkey,4,,,,K
3,T09,spicy,1,,,,K
