map_no,squad_id,placement,squad_kills,squad_assists,squad_redeploys,squad_damage,confidence,evidence_url,note
1,T01,9,13,9,15,9437,C,,
2,T01,8,10,1,26,6612,C,,
3,T01,2,8,4,23,6057,C,,
4,T01,12,10,0,6,5176,C,,
5,T01,5,7,3,24,4173,C,,
6,T01,2,21,2,16,12060,C,,
7,T01,5,8,7,23,6842,C,,
8,T01,11,2,,,,U,,no screenshot - assists/redeploys/damage unavailable
1,T02,11,10,5,4,5541,C,,
2,T02,3,28,12,6,12703,C,,
3,T02,1,15,14,8,15617,C,,
4,T02,11,9,4,19,7201,C,,
5,T02,1,24,9,15,12837,C,,
6,T02,1,12,4,16,8319,C,,
7,T02,1,27,6,11,13689,C,,
8,T02,1,4,3,0,5655,C,,
1,T03,6,11,4,19,10048,C,,
2,T03,4,16,5,21,9793,C,,
3,T03,7,11,2,15,7167,C,,
4,T03,7,13,6,21,9821,C,,
5,T03,12,2,2,3,1336,C,,
6,T03,8,9,5,22,6135,C,,
7,T03,2,20,7,6,14746,C,,
8,T03,10,6,,,,C,,
1,T04,1,10,9,38,8310,C,,
2,T04,9,8,4,23,5594,C,,
3,T04,12,5,0,7,,C,,
4,T04,10,10,8,14,7771,C,,
5,T04,10,19,5,2,10018,C,,
6,T04,3,19,10,14,12626,C,,
7,T04,12,0,,,,U,,no screenshot - assists/redeploys/damage unavailable
8,T04,2,,,,,U,,"no kills recorded in the source spreadsheet and no screenshot - kills unknown, not zero"
1,T05,8,7,4,22,5617,C,,
2,T05,12,5,2,7,3339,C,,
3,T05,9,6,1,22,7574,C,,
4,T05,1,15,5,28,10855,C,,
5,T05,9,3,0,22,3209,C,,
6,T05,9,6,2,17,3823,C,,
7,T05,11,7,0,6,4506,C,,
8,T05,8,2,1,24,3390,C,,
1,T06,3,18,9,8,10583,C,,
2,T06,2,17,8,7,10227,C,,
3,T06,4,11,4,20,9843,C,,
4,T06,5,16,3,8,8450,C,,
5,T06,3,9,7,7,7126,C,,
6,T06,5,13,8,2,11808,C,,
7,T06,4,5,3,16,5016,C,,
8,T06,7,14,5,14,8366,C,,
1,T07,7,21,8,24,12662,C,,
2,T07,1,24,4,23,12124,C,,
3,T07,8,11,6,14,8424,C,,
4,T07,2,10,12,15,10466,C,,
5,T07,11,12,8,13,8326,C,,
6,T07,11,1,1,0,1190,C,,
7,T07,10,12,3,14,6595,C,,
8,T07,5,19,7,13,9338,C,,
1,T08,12,1,2,4,1552,C,,
2,T08,7,8,4,21,6275,C,,
3,T08,3,8,,,,U,,no screenshot - assists/redeploys/damage unavailable
4,T08,4,16,6,13,9885,C,,
5,T08,6,18,8,6,10836,C,,
6,T08,12,8,2,12,5178,C,,
7,T08,6,19,2,15,9762,C,,
8,T08,6,10,6,12,8581,C,,
1,T09,4,16,1,13,8546,C,,
2,T09,6,8,2,26,5419,C,,
3,T09,6,10,4,13,7327,C,,
4,T09,6,12,,,,U,,no screenshot - assists/redeploys/damage unavailable
5,T09,7,2,2,15,4715,C,,
6,T09,10,1,2,7,2282,C,,
7,T09,8,7,2,17,5521,C,,
8,T09,12,0,,,,U,,no screenshot - assists/redeploys/damage unavailable
1,T10,5,20,8,19,12784,C,,
2,T10,5,11,4,26,6074,C,,
3,T10,11,2,,,,U,,no screenshot - assists/redeploys/damage unavailable
4,T10,9,5,3,17,4678,C,,
5,T10,8,11,8,22,8014,C,,
6,T10,4,15,4,8,9947,C,,
7,T10,3,13,12,25,8885,C,,
8,T10,4,22,4,16,11442,C,,
1,T11,10,9,6,19,7005,C,,
2,T11,11,4,2,16,3573,C,,
3,T11,5,12,2,10,9008,C,,
4,T11,8,12,7,16,8263,C,,
5,T11,2,10,8,26,7261,C,,
6,T11,7,1,2,18,2240,C,,
7,T11,9,5,2,22,4601,C,,
8,T11,9,3,1,6,3411,C,,
1,T12,2,8,,,,U,,no screenshot - assists/redeploys/damage unavailable
2,T12,10,14,6,12,8671,C,,
3,T12,10,14,7,14,8200,C,,
4,T12,3,7,3,22,7244,C,,
5,T12,4,12,5,15,8170,C,,
6,T12,6,7,4,14,6328,C,,
7,T12,7,8,2,23,6120,C,,
8,T12,3,,,,,U,,"no kills recorded in the source spreadsheet and no screenshot - kills unknown, not zero"
