squad_id,label,player_id
T01,Koby x VGL x MR X,koby
T01,Koby x VGL x MR X,mr_x
T01,Koby x VGL x MR X,vgl_(swanny)
T02,oBricks x Rmax x Chaddy,chaddy
T02,oBricks x Rmax x Chaddy,obricks
T02,oBricks x Rmax x Chaddy,rmax
T03,Jatzy x Dolemite x Roccy,dolemite
T03,Jatzy x Dolemite x Roccy,jatzy
T03,Jatzy x Dolemite x Roccy,roccy
T04,Camzyy x Duqoh x SirDank,camzyy
T04,Camzyy x Duqoh x SirDank,duq
T04,Camzyy x Duqoh x SirDank,sirdank
T05,Creamy x Shiftey x Jords/Snakey,creamy
T05,Creamy x Shiftey x Jords/Snakey,jords
T05,Creamy x Shiftey x Jords/Snakey,shiftey
T05,Creamy x Shiftey x Jords/Snakey,snakey
T06,Nzdee x Monkeyman x Minho,minho
T06,Nzdee x Monkeyman x Minho,monkey
T06,Nzdee x Monkeyman x Minho,nzdee
T07,Leza x Manemerc x Lupin,lezafort
T07,Leza x Manemerc x Lupin,lupin
T07,Leza x Manemerc x Lupin,manemerc
T08,Zag x Kaiba x Clawssy/Stump,5thstump
T08,Zag x Kaiba x Clawssy/Stump,clawssy
T08,Zag x Kaiba x Clawssy/Stump,hooli
T08,Zag x Kaiba x Clawssy/Stump,kaiba
T08,Zag x Kaiba x Clawssy/Stump,zag
T09,Gara x Muk x Nzzl,garra
T09,Gara x Muk x Nzzl,muk
T09,Gara x Muk x Nzzl,nzzl
T10,Envious Jay x x Syzn x Chuffy/Rev/Stump,5thstump
T10,Envious Jay x x Syzn x Chuffy/Rev/Stump,chuffy
T10,Envious Jay x x Syzn x Chuffy/Rev/Stump,jay
T10,Envious Jay x x Syzn x Chuffy/Rev/Stump,rev
T10,Envious Jay x x Syzn x Chuffy/Rev/Stump,syzn
T11,Curnal x Redshiftr x Cheesey,cheesey
T11,Curnal x Redshiftr x Cheesey,curnal
T11,Curnal x Redshiftr x Cheesey,nazx
T11,Curnal x Redshiftr x Cheesey,redshiftr
T12,Bang Bang x Conr x Haiyz,bang_bang
T12,Bang Bang x Conr x Haiyz,conr
T12,Bang Bang x Conr x Haiyz,haiyz
