map_no,squad_id,source_file,row_type,in_game_name,kills_seen,assists,redeploys,damage
1,T01,Scores 1/image 32.PNG,P,@swanny,6,4,4,4119
1,T01,Scores 1/image 32.PNG,P,[1UP+]Koby,5,4,4,3270
1,T01,Scores 1/image 32.PNG,P,[+]MR X,2,1,7,2048
1,T01,Scores 1/image 32.PNG,TOTAL,,13,9,15,9437
2,T01,Scores 1/image 28.PNG,P,[+]MR X,4,1,9,2869
2,T01,Scores 1/image 28.PNG,P,[1UP+]Koby,5,0,9,2231
2,T01,Scores 1/image 28.PNG,P,@swanny,1,0,8,1512
2,T01,Scores 1/image 28.PNG,TOTAL,,10,1,26,6612
3,T01,Scores 7/image 22.PNG,P,[1UP+]Koby,3,3,8,3096
3,T01,Scores 7/image 22.PNG,P,@swanny,3,1,5,1805
3,T01,Scores 7/image 22.PNG,P,[+]MR X,2,0,10,1156
3,T01,Scores 7/image 22.PNG,TOTAL,,8,4,23,6057
4,T01,Scores 7/image 21.PNG,P,[+]MR X,1,0,1,535
4,T01,Scores 7/image 21.PNG,P,[1UP+]Koby,6,0,2,2688
4,T01,Scores 7/image 21.PNG,P,@swanny,3,0,3,1953
4,T01,Scores 7/image 21.PNG,TOTAL,,10,0,6,5176
5,T01,Scores 4/image 13.PNG,P,[1UP+]Koby,3,2,10,2067
5,T01,Scores 4/image 13.PNG,P,[+]MR X,1,1,10,1149
5,T01,Scores 4/image 13.PNG,P,@swanny,3,0,4,957
5,T01,Scores 4/image 13.PNG,TOTAL,,7,3,24,4173
6,T01,Scores 5/image 7.PNG,P,[1UP+]Koby,11,2,6,5280
6,T01,Scores 5/image 7.PNG,P,@swanny,9,0,5,5239
6,T01,Scores 5/image 7.PNG,P,[+]MR X,1,0,5,1541
6,T01,Scores 5/image 7.PNG,TOTAL,,21,2,16,12060
7,T01,Scores 5/image 4.PNG,P,[1UP+]Koby,3,4,9,2946
7,T01,Scores 5/image 4.PNG,P,[+]MR X,1,1,7,1648
7,T01,Scores 5/image 4.PNG,P,@swanny,4,2,7,2248
7,T01,Scores 5/image 4.PNG,TOTAL,,8,7,23,6842
1,T02,Scores 1/image 34.PNG,P,[TTV]RMAX,2,3,1,1855
1,T02,Scores 1/image 34.PNG,P,[TTV]chaddy,2,1,1,1009
1,T02,Scores 1/image 34.PNG,P,oBrIcKs,6,1,2,2677
1,T02,Scores 1/image 34.PNG,TOTAL,,10,5,4,5541
2,T02,Scores 2/image 27.PNG,P,[TTV]RMAX,16,3,2,5264
2,T02,Scores 2/image 27.PNG,P,oBrIcKs,11,7,2,6405
2,T02,Scores 2/image 27.PNG,P,[TTV]chaddy,1,2,2,1034
2,T02,Scores 2/image 27.PNG,TOTAL,,28,12,6,12703
3,T02,Scores 7/image 23.PNG,P,[TTV]RMAX,11,4,2,7028
3,T02,Scores 7/image 23.PNG,P,[TTV]chaddy,6,5,3,3972
3,T02,Scores 7/image 23.PNG,P,oBrIcKs,9,5,3,4617
3,T02,Scores 7/image 23.PNG,TOTAL,,26,14,8,15617
4,T02,Scores 3/image 19.PNG,P,oBrIcKs,5,0,8,3308
4,T02,Scores 3/image 19.PNG,P,[TTV]chaddy,2,2,8,2067
4,T02,Scores 3/image 19.PNG,P,[TTV]RMAX,2,2,3,1826
4,T02,Scores 3/image 19.PNG,TOTAL,,9,4,19,7201
5,T02,Scores 4/image 14.PNG,P,oBrIcKs,10,6,6,5847
5,T02,Scores 4/image 14.PNG,P,[TTV]RMAX,10,0,4,4413
