map_no,squad_id,placement,squad_kills,squad_assists,squad_redeploys,squad_damage,confidence,evidence_url,note
1,T01,2,26,11,7,13485,C,,
2,T01,2,23,6,6,12081,C,,
3,T01,8,4,3,17,5077,C,,
4,T01,1,16,7,9,10827,C,,
5,T01,14,3,0,8,2128,C,,
6,T01,1,24,10,13,11736,C,,
7,T01,5,14,8,15,10061,C,,
8,T01,4,13,8,10,9120,C,,
9,T01,3,11,3,11,6908,C,,
1,T02,14,4,0,7,2808,C,,
2,T02,9,6,1,19,6983,C,,
3,T02,1,40,7,17,18156,C,,
4,T02,9,14,3,13,8696,C,,
5,T02,1,17,8,21,8865,C,,
6,T02,14,2,1,22,3581,C,,
7,T02,12,7,5,17,5542,C,,
8,T02,2,32,13,13,15536,C,,
9,T02,14,11,,,,T,,no screenshot for this squad on this map
1,T03,10,9,2,22,5438,C,,
2,T03,13,10,5,17,7476,C,,
3,T03,11,14,8,18,7936,C,,
4,T03,8,15,5,15,9507,C,,
5,T03,6,19,8,23,10809,C,,
6,T03,11,16,3,22,10617,C,,
7,T03,15,8,8,10,4948,C,,
8,T03,15,5,4,10,3554,C,,
9,T03,15,6,5,9,4225,C,,
1,T04,6,7,2,31,6987,C,,
2,T04,6,9,1,29,7782,C,,
3,T04,2,22,4,21,11804,C,,
4,T04,4,19,5,20,10740,C,,
5,T04,4,14,2,31,9216,C,,
6,T04,7,9,6,25,6179,C,,
7,T04,2,21,10,14,12592,C,,
8,T04,1,22,7,9,10703,C,,
9,T04,7,6,3,21,7206,C,,
1,T05,4,19,6,15,11597,C,,
2,T05,3,18,5,13,11761,C,,
3,T05,7,9,6,12,6483,C,,
4,T05,15,9,2,7,5631,C,,
5,T05,8,14,2,8,6978,C,,
6,T05,13,6,6,11,4549,C,,
7,T05,6,16,9,16,7582,C,,
8,T05,14,2,0,5,1776,C,,
9,T05,13,14,7,20,10307,C,,
1,T06,3,17,17,9,,C,,
2,T06,7,13,6,27,8240,C,,
3,T06,12,7,,,,C,,SQUAD TOTALS row cropped out of frame; player kills checked against the sheet instead
4,T06,14,8,4,10,5574,C,,
5,T06,3,12,8,15,10080,C,,
6,T06,6,8,3,29,,C,,
7,T06,8,17,2,23,,C,,
8,T06,6,16,5,23,,C,,
9,T06,4,10,5,34,,C,,
1,T07,5,14,3,24,7524,C,,
2,T07,1,19,15,6,11224,C,,
3,T07,15,6,2,7,3797,C,,
4,T07,6,12,1,26,5994,C,,
5,T07,7,11,5,25,7352,C,,
6,T07,2,26,8,12,14972,C,,
7,T07,1,17,5,24,13599,C,,
8,T07,9,9,4,12,5926,C,,
9,T07,8,12,3,13,6310,C,,
1,T08,1,21,6,9,11359,C,,
2,T08,4,15,2,19,12256,C,,
3,T08,3,19,7,15,10985,C,,
4,T08,10,10,1,19,7030,C,,
5,T08,10,11,2,6,5878,C,,
6,T08,3,20,10,7,11421,C,,
7,T08,7,8,2,24,7063,C,,
8,T08,16,2,1,2,1623,C,,
9,T08,11,1,0,13,2547,C,,
1,T09,9,7,7,31,6523,C,,
2,T09,10,13,4,4,6258,C,,
3,T09,5,8,,,,T,,no screenshot for this squad on this map
4,T09,3,14,1,26,8938,C,,
5,T09,13,5,0,9,3112,C,,
6,T09,8,11,3,14,6034,C,,
7,T09,11,18,1,12,7820,C,,
8,T09,3,16,4,30,11904,C,,
9,T09,16,0,,,,T,,no screenshot for this squad on this map
1,T10,11,17,7,13,9394,C,,
2,T10,12,5,4,12,3520,C,,
3,T10,13,4,0,21,5152,C,,
4,T10,13,9,5,10,5372,C,,
5,T10,5,13,4,17,9166,C,,
6,T10,16,2,2,5,1251,C,,
7,T10,16,3,3,18,2640,C,,
8,T10,10,9,11,18,7361,C,,
9,T10,1,24,9,7,11518,C,,
1,T11,16,6,2,7,3303,C,,
2,T11,15,2,2,7,2320,C,,
3,T11,10,10,4,17,5642,C,,
4,T11,16,3,4,0,1432,C,,
5,T11,16,1,1,0,754,C,,
6,T11,9,19,11,18,10947,C,,
7,T11,13,4,1,19,3652,C,,
8,T11,13,10,2,31,6924,C,,
9,T11,5,20,12,15,11655,C,,
1,T12,7,16,9,17,9684,C,,
2,T12,5,8,1,20,6318,C,,
3,T12,9,14,8,13,11031,C,,
4,T12,5,14,6,23,8500,C,,
5,T12,2,15,2,23,9321,C,,
6,T12,10,11,2,18,6848,C,,
7,T12,4,23,10,15,12259,C,,
8,T12,7,14,,,,T,,no screenshot for this squad on this map
9,T12,2,15,4,9,7385,C,,
1,T13,15,5,2,5,3828,C,,
2,T13,14,3,1,12,,C,,
3,T13,6,9,4,19,,C,,
4,T13,2,9,3,13,,C,,
5,T13,12,14,7,5,6122,C,,
6,T13,4,12,3,12,,C,,
7,T13,3,19,7,7,9286,C,,
8,T13,8,8,3,,,C,,
9,T13,9,5,0,14,3327,C,,
1,T14,8,8,7,28,7674,C,,
2,T14,8,16,4,21,9491,C,,
3,T14,16,6,1,6,3687,C,,
4,T14,7,8,1,33,7453,C,,
5,T14,9,11,2,19,8560,C,,
6,T14,5,11,5,26,6493,C,,
7,T14,9,11,7,19,6806,C,,
8,T14,5,20,12,8,11225,C,,
9,T14,10,9,5,14,6694,C,,
1,T15,12,8,2,13,4147,C,,
2,T15,16,3,0,0,1708,C,,
3,T15,4,18,8,21,8647,C,,
4,T15,11,7,7,6,5289,C,,
5,T15,11,8,3,11,4291,C,,
6,T15,12,8,3,17,4350,C,,
7,T15,10,3,2,22,2525,C,,
8,T15,12,0,1,21,1590,C,,
9,T15,12,0,,,,U,,SQUAD TOTALS row cropped out of frame; player kills checked against the sheet instead; the sheet records 12th twice on this map and leaves 6th unassigned; one of these two squads was 6th and it is not recoverable from the sheet
1,T16,13,7,0,23,3783,C,,
2,T16,11,7,4,21,4452,C,,
3,T16,14,5,2,13,4860,C,,
4,T16,12,6,1,16,4706,C,,
5,T16,15,2,4,0,998,C,,
6,T16,15,1,1,9,1289,C,,
7,T16,14,2,,,,T,,no screenshot for this squad on this map
8,T16,11,6,2,21,4125,C,,
9,T16,12,7,1,9,4412,U,,the sheet records 12th twice on this map and leaves 6th unassigned; one of these two squads was 6th and it is not recoverable from the sheet
