squad_id,label,player_id
T01,Wakey x Mint x Nzzl,mint
T01,Wakey x Mint x Nzzl,nzzl
T01,Wakey x Mint x Nzzl,wakey
T02,Kenner x Cloudy x Kenn,cloudy
T02,Kenner x Cloudy x Kenn,kenn
T02,Kenner x Cloudy x Kenn,kenner
T03,6ixer x Faf x Pengie,faf
T03,6ixer x Faf x Pengie,pengie
T03,6ixer x Faf x Pengie,stiinger
T04,Bray x Vague x Money Demon,bray
T04,Bray x Vague x Money Demon,moneydemon
T04,Bray x Vague x Money Demon,vague
T05,Kalon x Drizzy x Roccy,drizzy
T05,Kalon x Drizzy x Roccy,kalon
T05,Kalon x Drizzy x Roccy,roccy
T06,Dynax Koby x NzDee,dyna
T06,Dynax Koby x NzDee,koby
T06,Dynax Koby x NzDee,nzdee
T07,Chong Lee x Minho x Unrivaled,chonglee
T07,Chong Lee x Minho x Unrivaled,minho
T07,Chong Lee x Minho x Unrivaled,unrivaled
T08,Z x Camzy x Kaiba,camzy
T08,Z x Camzy x Kaiba,kaiba
T08,Z x Camzy x Kaiba,splyce
T08,Z x Camzy x Kaiba,zmoney
T09,Slight x Envious Jay x jdz,jay
T09,Slight x Envious Jay x jdz,jdz
T09,Slight x Envious Jay x jdz,slight
T10,Dx x Hassi x Lgks,dx
T10,Dx x Hassi x Lgks,hassi
T10,Dx x Hassi x Lgks,lgks
T11,Light x Jatzy x Venqur,jatzy
T11,Light x Jatzy x Venqur,light
T11,Light x Jatzy x Venqur,venqur
T12,Zinc x Snowy x Hikkar,hikkar
T12,Zinc x Snowy x Hikkar,snowyy
T12,Zinc x Snowy x Hikkar,zinc
T13,ZaZa x Akhi x Hi,akhi
T13,ZaZa x Akhi x Hi,hi
T13,ZaZa x Akhi x Hi,zaza
T14,Leza x Manemerc x Jono,jono
T14,Leza x Manemerc x Jono,lezafort
T14,Leza x Manemerc x Jono,manemerc
T15,Zealo x N31mak x 5th Stump,5thstump
T15,Zealo x N31mak x 5th Stump,n31mak
T15,Zealo x N31mak x 5th Stump,zzeallo
T16,Vibes x Cortez x Frenchy,cortez
T16,Vibes x Cortez x Frenchy,frenchy
T16,Vibes x Cortez x Frenchy,vibes
