map_no,squad_id,player_id,kills,assists,redeploys,damage,confidence
1,T01,wakey,13,5,2,6907,C
1,T01,mint,11,4,3,4745,C
1,T01,nzzl,2,2,2,1833,C
2,T01,nzzl,7,3,2,4023,C
2,T01,wakey,13,0,1,4525,C
2,T01,mint,3,3,3,3533,C
3,T01,wakey,3,1,5,2342,C
3,T01,mint,1,2,6,1515,C
3,T01,nzzl,0,0,6,1220,C
4,T01,wakey,8,1,2,3802,C
4,T01,mint,5,5,2,4447,C
4,T01,nzzl,3,1,5,2578,C
5,T01,wakey,3,0,2,1646,C
5,T01,nzzl,0,0,3,455,C
5,T01,mint,0,0,3,27,C
6,T01,wakey,16,4,5,7103,C
6,T01,nzzl,5,5,4,2404,C
6,T01,mint,3,1,4,2229,C
7,T01,wakey,7,5,3,5075,C
7,T01,mint,7,3,5,3753,C
7,T01,nzzl,0,0,7,1233,C
8,T01,wakey,6,5,4,5161,C
8,T01,mint,5,1,3,2295,C
8,T01,nzzl,2,2,3,1664,C
9,T01,wakey,8,0,4,4131,C
9,T01,nzzl,2,1,4,1034,C
9,T01,mint,1,2,3,1743,C
1,T02,kenner,4,0,2,1754,C
1,T02,kenn,0,0,4,148,C
1,T02,cloudy,0,0,1,906,C
2,T02,kenner,2,0,7,4166,C
2,T02,cloudy,4,1,6,2817,C
2,T02,kenn,0,0,6,0,C
3,T02,kenner,23,5,8,10239,C
3,T02,cloudy,16,2,2,6971,C
3,T02,kenn,1,0,7,946,C
4,T02,cloudy,7,2,2,4267,C
4,T02,kenner,6,1,5,3763,C
4,T02,kenn,1,0,6,666,C
5,T02,kenner,10,5,7,4867,C
5,T02,cloudy,7,2,6,3462,C
5,T02,kenn,0,1,8,536,C
6,T02,kenn,0,0,8,201,C
6,T02,kenner,1,1,9,2046,C
6,T02,cloudy,1,0,5,1334,C
7,T02,kenner,5,1,5,2770,C
7,T02,cloudy,2,4,4,2486,C
7,T02,kenn,0,0,8,286,C
8,T02,kenner,11,5,5,5867,C
8,T02,cloudy,16,6,3,6934,C
8,T02,kenn,5,2,5,2735,C
1,T03,pengie,7,1,5,3198,C
1,T03,faf,2,1,9,1821,C
1,T03,stiinger,0,0,8,419,C
2,T03,stiinger,5,2,7,2493,C
2,T03,pengie,3,1,2,2515,C
2,T03,faf,2,2,8,2468,C
3,T03,stiinger,5,3,6,3032,C
3,T03,pengie,6,2,8,2991,C
3,T03,faf,3,3,4,1913,C
4,T03,stiinger,6,0,5,3783,C
4,T03,pengie,7,1,4,3922,C
4,T03,faf,2,4,6,1802,C
5,T03,faf,5,2,10,3184,C
5,T03,pengie,8,3,9,3909,C
5,T03,stiinger,6,3,4,3716,C
6,T03,pengie,6,1,6,3527,C
6,T03,stiinger,5,1,6,3342,C
6,T03,faf,5,1,10,3748,C
7,T03,faf,1,4,4,1767,C
7,T03,pengie,5,2,3,1656,C
7,T03,stiinger,2,2,3,1525,C
8,T03,stiinger,2,1,4,1277,C
8,T03,pengie,2,2,4,1529,C
8,T03,faf,1,1,2,748,C
9,T03,faf,0,3,4,989,C
9,T03,pengie,2,2,2,1563,C
9,T03,stiinger,4,0,3,1673,C
1,T04,vague,2,2,11,2179,C
1,T04,bray,5,0,11,3849,C
1,T04,moneydemon,0,0,9,959,C
2,T04,vague,4,1,10,3638,C
2,T04,bray,4,0,8,3536,C
2,T04,moneydemon,1,0,11,608,C
3,T04,bray,10,3,7,5451,C
3,T04,vague,8,1,6,4517,C
3,T04,moneydemon,4,0,8,1836,C
4,T04,bray,13,1,5,5747,C
4,T04,vague,6,4,7,4612,C
4,T04,moneydemon,0,0,8,381,C
5,T04,bray,7,2,12,5005,C
5,T04,vague,4,0,8,2278,C
5,T04,moneydemon,3,0,11,1933,C
6,T04,bray,6,2,7,2583,C
6,T04,vague,2,3,6,2493,C
6,T04,moneydemon,1,1,12,1103,C
7,T04,bray,10,4,3,4917,C
7,T04,vague,10,3,5,5243,C
7,T04,moneydemon,1,3,6,2432,C
8,T04,bray,11,5,3,5600,C
8,T04,vague,9,1,1,4164,C
8,T04,moneydemon,2,1,5,939,C
9,T04,bray,3,2,9,3165,C
9,T04,vague,2,0,5,2886,C
9,T04,moneydemon,1,1,7,1155,C
1,T05,kalon,11,3,4,5001,C
1,T05,roccy,1,1,5,2193,C
1,T05,drizzy,7,2,6,4403,C
2,T05,drizzy,8,2,5,5801,C
2,T05,roccy,3,1,4,1861,C
2,T05,kalon,7,2,4,4099,C
3,T05,roccy,0,0,6,311,C
3,T05,drizzy,5,2,3,2753,C
3,T05,kalon,4,4,3,3419,C
4,T05,roccy,1,0,4,1414,C
4,T05,kalon,4,1,3,2148,C
4,T05,drizzy,4,1,0,2069,C
5,T05,kalon,6,2,2,3289,C
5,T05,drizzy,5,0,3,2164,C
5,T05,roccy,3,0,3,1525,C
6,T05,kalon,2,6,3,2657,C
6,T05,drizzy,4,0,4,1784,C
6,T05,roccy,0,0,4,108,C
7,T05,kalon,9,4,4,4173,C
7,T05,drizzy,6,4,5,2649,C
7,T05,roccy,1,1,7,760,C
8,T05,kalon,1,0,1,815,C
8,T05,roccy,0,0,3,511,C
8,T05,drizzy,1,0,1,450,C
9,T05,kalon,5,4,5,3984,C
9,T05,drizzy,7,2,8,4344,C
9,T05,roccy,2,1,7,1979,C
1,T06,dyna,10,7,4,,C
1,T06,nzdee,6,5,2,,C
1,T06,koby,1,5,3,1885,C
2,T06,koby,4,0,11,1804,C
2,T06,nzdee,6,3,10,3467,C
2,T06,dyna,3,3,6,2969,C
3,T06,koby,1,0,6,235,C
3,T06,dyna,4,3,3,3199,C
3,T06,nzdee,2,0,2,1772,C
4,T06,dyna,5,2,3,3363,C
4,T06,koby,2,0,3,628,C
4,T06,nzdee,1,2,4,1583,C
5,T06,koby,1,5,6,1685,C
5,T06,nzdee,5,0,5,3361,C
5,T06,dyna,6,3,4,5034,C
6,T06,dyna,3,1,11,,C
6,T06,nzdee,1,1,12,,C
6,T06,koby,4,1,6,,C
7,T06,dyna,8,1,8,,C
7,T06,koby,6,0,6,,C
7,T06,nzdee,3,1,9,,C
8,T06,nzdee,4,3,10,,C
8,T06,koby,8,1,9,,C
8,T06,dyna,4,1,4,,C
9,T06,koby,2,2,13,,C
9,T06,nzdee,5,1,13,,C
9,T06,dyna,3,2,8,,C
1,T07,chonglee,11,0,9,3687,C
1,T07,unrivaled,3,3,7,2617,C
1,T07,minho,0,0,8,1220,C
2,T07,chonglee,10,4,2,5417,C
2,T07,unrivaled,7,7,2,4110,C
2,T07,minho,2,4,2,1697,C
3,T07,chonglee,2,1,1,1047,C
3,T07,unrivaled,3,1,4,1797,C
3,T07,minho,1,0,2,953,C
4,T07,chonglee,11,0,7,4814,C
4,T07,unrivaled,1,1,8,914,C
